Drift,Temp
-0.009150, 10.000263
-0.008889, 10.001296
-0.008923, 10.001101
-0.008961, 9.902824
-0.009040, 9.902686
-0.009166, 10.001596
-0.009170, 10.001836
-0.008860, 9.799536
-0.009004, 9.810961
-0.009106, 9.902575
-0.008967, 10.000411
-0.009050, 9.903551
-0.009077, 9.805187
-0.008933, 9.902788
-0.009134, 10.000884
-0.009220, 10.000333
-0.009132, 9.790511
-0.009097, 9.820969
-0.009118, 9.903611
-0.009040, 10.001373
-0.009157, 9.894697
-0.008982, 9.715701
-0.008888, 9.805982
-0.009071, 9.904106
-0.009087, 9.805248
-0.009053, 10.001276
-0.009135, 9.805602
-0.009129, 9.903098
-0.009106, 9.903654
-0.009153, 9.804981
-0.009100, 9.902973
-0.008975, 9.903441
-0.009054, 9.904144
-0.009173, 9.990408
-0.008947, 9.816184
-0.008981, 10.001836
-0.009120, 10.000636
-0.009287, 9.903117
-0.008905, 9.903916
-0.009161, 9.854481
-0.008955, 9.880123
-0.009043, 9.975639
-0.009154, 9.903001
-0.009175, 9.904009
-0.009401, 9.902918
-0.009171, 9.904088
-0.008990, 9.988229
-0.008926, 9.915724
-0.009005, 10.000262
-0.009046, 9.903763
-0.009077, 9.903328
-0.009023, 9.875006
-0.009026, 9.834059
