Drift,Temp
-0.009644, 14.000514
-0.009808, 14.001354
-0.009502, 14.000020
-0.009767, 13.903700
-0.009732, 13.903158
-0.009671, 14.001890
-0.009735, 13.804965
-0.009644, 13.799259
-0.009614, 13.616605
-0.009432, 13.904455
-0.009651, 13.805751
-0.009271, 13.708181
-0.009407, 13.902265
-0.009236, 13.758746
-0.009610, 13.656527
-0.009305, 13.518006
-0.009334, 13.587962
-0.009328, 13.432857
-0.009333, 13.449038
-0.009122, 13.489991
-0.009293, 13.294480
-0.009230, 13.425276
-0.009241, 13.553175
-0.009225, 13.295035
-0.009323, 13.293851
-0.009388, 13.294884
-0.009234, 13.245313
-0.009406, 13.343725
-0.009279, 13.098903
-0.009204, 13.196653
-0.009243, 13.251421
-0.009398, 12.783034
-0.009240, 12.970240
-0.009249, 13.001765
-0.009279, 13.001786
-0.009129, 13.097988
-0.009166, 13.098534
-0.009037, 12.806504
-0.009060, 12.609418
-0.009001, 13.001807
-0.009002, 12.805716
-0.009144, 12.805578
-0.009128, 12.904806
-0.009042, 12.857689
-0.008925, 12.950203
-0.008912, 12.420573
-0.008859, 12.702252
-0.009213, 12.512713
-0.008923, 12.512401
-0.008867, 12.721201
-0.009056, 12.781998
-0.008913, 12.586673
-0.008848, 12.153939
-0.009059, 12.316621
-0.008825, 12.121676
-0.008893, 12.218047
-0.008778, 12.413985
-0.008918, 12.317015
-0.008898, 12.417856
-0.009048, 12.118773
-0.008694, 12.175253
-0.008977, 12.196471
-0.008652, 12.099160
-0.008698, 12.098523
-0.008599, 12.294890
-0.008892, 12.000159
-0.008747, 11.903213
-0.008797, 12.000333
-0.008721, 12.098948
-0.008647, 11.902268
-0.008682, 12.000834
-0.008511, 12.001660
-0.008644, 12.099362
-0.008335, 12.099860
-0.008566, 12.196617
-0.008760, 12.000967
-0.008691, 12.000188
-0.008697, 11.806782
-0.008513, 11.904433
-0.008540, 11.903947
-0.008581, 12.196891
-0.008651, 11.805152
-0.008605, 11.805529
-0.008643, 11.628583
-0.008555, 11.787546
-0.008823, 11.708114
-0.008564, 11.756979
-0.008510, 11.561161
-0.008504, 11.707871
-0.008615, 11.785284
-0.008517, 11.782355
-0.008523, 11.651983
-0.008634, 11.609343
-0.008419, 11.903114
-0.008732, 11.672747
-0.008453, 11.294482
-0.008359, 11.864584
-0.008791, 11.513332
-0.008764, 11.385349
-0.008616, 11.391222
-0.008411, 11.270853
-0.008531, 11.415259
-0.008620, 11.415578
-0.008456, 11.369337
-0.008387, 11.459796
-0.008601, 11.707155
-0.008528, 11.299952
-0.008445, 11.235507
-0.008575, 11.353279
-0.008399, 11.098041
-0.008508, 11.196542
-0.008473, 11.196278
-0.008726, 11.392268
-0.008847, 11.294417
-0.008412, 11.394454
-0.008393, 11.290953
-0.008409, 11.196324
-0.008449, 11.098439
-0.008446, 11.196983
-0.008489, 11.118768
-0.008773, 11.177817
-0.008539, 10.904253
-0.008355, 11.002221
-0.008557, 11.000228
-0.008616, 11.134532
-0.008411, 11.317610
-0.008636, 11.041796
-0.008306, 11.098140
-0.008801, 11.000991
-0.008584, 11.000189
-0.008582, 11.099944
-0.008621, 11.097723
-0.008378, 11.197593
-0.008532, 10.904509
-0.008713, 10.903659
-0.008629, 10.903894
-0.008404, 10.804793
-0.008512, 11.098735
-0.008587, 10.805494
-0.008398, 10.806156
-0.008393, 10.903772
-0.008579, 10.805548
-0.008397, 10.903120
-0.008567, 11.000341
-0.008651, 10.609917
-0.008410, 11.000554
-0.008895, 10.610647
-0.008403, 10.806429
-0.008657, 10.810895
-0.008434, 10.995503
-0.008691, 10.903152
-0.008400, 10.609583
-0.008717, 10.426245
-0.008337, 10.783816
-0.008420, 10.781961
-0.008521, 10.840060
-0.008308, 10.904036
-0.008593, 10.805830
-0.008578, 10.708636
-0.008587, 10.903995
-0.008653, 10.537429
-0.008635, 10.878441
-0.008778, 10.609599
-0.008647, 11.002173
-0.008597, 10.707699
-0.008645, 10.617995
-0.008462, 10.893725
-0.008382, 10.415436
-0.008600, 10.904055
-0.008405, 10.625793
-0.008531, 10.790760
-0.008352, 10.511057
-0.008526, 10.707430
-0.008383, 10.512633
-0.008406, 10.413366
-0.008691, 10.513484
-0.008518, 10.317636
-0.008485, 10.511607
-0.008683, 10.812351
-0.008525, 10.588385
-0.008639, 10.334080
-0.008685, 10.255224
-0.008624, 10.391114
-0.008547, 10.391721
-0.008546, 10.197441
-0.008451, 10.349236
-0.008374, 10.630220
-0.008637, 10.391179
-0.008471, 10.294476
-0.008742, 10.294906
-0.008727, 10.196748
-0.008511, 10.583099
-0.008758, 10.493197
-0.008538, 10.434331
-0.008536, 10.316200
-0.008387, 10.122215
-0.008315, 10.317263
-0.008638, 10.512257
-0.008794, 10.454805
-0.008528, 10.375279
-0.008639, 10.414870
-0.008632, 10.483907
-0.008511, 10.391646
-0.008639, 10.563437
-0.008656, 10.220275
-0.008479, 10.316539
-0.008452, 10.565157
-0.008758, 10.293168
-0.008553, 10.285728
-0.008583, 10.497763
-0.008686, 10.430375
-0.008587, 10.158679
-0.008559, 10.377459
-0.008690, 10.220153
-0.008738, 10.414560
-0.008623, 10.219664
-0.008692, 10.141460
-0.008682, 10.294283
-0.008907, 10.000638
-0.008821, 10.196497
-0.008694, 10.755829
-0.008777, 10.219168
-0.008838, 10.299394
-0.008715, 10.196873
-0.008630, 10.293892
-0.008840, 10.197189
-0.008642, 10.098598
-0.008941, 10.097979
-0.008738, 10.057291
-0.008691, 10.237054
-0.008681, 10.099423
-0.008888, 10.099381
-0.008679, 10.441567
-0.008569, 10.147590
-0.008763, 10.195612
-0.008693, 10.294982
-0.008934, 10.295350
